Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,TreeName,KGISTreeID,Department,KGISCode,WardNumber,KGISVillag,xcoord,ycoord,zcoord
,,,,,,-1,0,-1,,,19948,Bauhinia Purpurata (Vieill.),GN7025RG9CIG001,19948,29572055428031620000BBMPTREESENSU0000,160,15570,77.51544529999998,12.9107548,0.0
,,,,,,-1,0,-1,,,19967,Bauhinia Purpurata (Vieill.),GN7025RG9GEH001,19967,29572055428031620000BBMPTREESENSU0000,160,15570,77.5153003,12.9108938,0.0
,,,,,,-1,0,-1,,,20506,Bauhinia Purpurata (Vieill.),GN7030CD8BKP001,20506,29572055428031620000BBMPTREESENSU0000,160,15581,77.51439329999998,12.9261718,0.0
,,,,,,-1,0,-1,,,20590,Bauhinia Purpurata (Vieill.),GN7030CD7GEI001,20590,29572055428031620000BBMPTREESENSU0000,160,15581,77.5135893,12.9262798,0.0
,,,,,,-1,0,-1,,,27226,Bauhinia Purpurata (Vieill.),GN7030DF0YHI004,27226,29572055428031620000BBMPTREESENSU0000,160,15570,77.5168563,12.9286328,0.0
,,,,,,-1,0,-1,,,27886,Bauhinia Purpurata (Vieill.),GN7030CG8OJF001,27886,29572055428031620000BBMPTREESENSU0000,160,15570,77.51510229999998,12.9291858,0.0
,,,,,,-1,0,-1,,,32576,Bauhinia Purpurata (Vieill.),GN7025SJ9AUD002,32576,29572055428031620000BBMPTREESENSU0000,160,15570,77.5242114,12.9134808,0.0
,,,,,,-1,0,-1,,,32582,Bauhinia Purpurata (Vieill.),GN7025SJ8ESL001,32582,29572055428031620000BBMPTREESENSU0000,160,15570,77.5241384,12.9134588,0.0
,,,,,,-1,0,-1,,,38823,Bauhinia Purpurata (Vieill.),GN7530KB9VSN001,38823,29572055428031620000BBMPTREESENSU0000,162,15678,77.5432004,12.9429189,0.0
,,,,,,-1,0,-1,,,38858,Bauhinia Purpurata (Vieill.),GN7530KB9WVF001,38858,29572055428031620000BBMPTREESENSU0000,162,15678,77.5433124,12.9429309,0.0
,,,,,,-1,0,-1,,,66971,Bauhinia Purpurata (Vieill.),GN7030AB5SXL001,66971,29572055428031620000BBMPTREESENSU0000,130,15604,77.4936763,12.9251767,0.0
,,,,,,-1,0,-1,,,116408,Bauhinia Purpurata (Vieill.),GN7545RJ8NQB001,116408,29572055428031620000BBMPTREESENSU0000,9,15405,77.56255229999998,13.0941219,0.0
,,,,,,-1,0,-1,,,125820,Bauhinia Purpurata (Vieill.),GN8530CB0CVA001,125820,29572055428031620000BBMPTREESENSU0000,174,15546,77.64534159999998,12.9231172,0.0
,,,,,,-1,0,-1,,,137140,Bauhinia Purpurata (Vieill.),GN8045PH8JQA001,137140,29572055428031620000BBMPTREESENSU0000,4,15373,77.5903514,13.091856,0.0
,,,,,,-1,0,-1,,,212101,Bauhinia Purpurata (Vieill.),GN7520WG0AXO001,212101,29572055428031620000BBMPTREESENSU0000,196,15715,77.5524654,12.8743759,0.0
,,,,,,-1,0,-1,,,215928,Bauhinia Purpurata (Vieill.),GN8530MC9QAI001,215928,29572055428031620000BBMPTREESENSU0000,150,21447,77.6536076,12.9424182,0.0
,,,,,,-1,0,-1,,,271089,Bauhinia Purpurata (Vieill.),GN9535PH8ODI001,271089,29572055428031620000BBMPTREESENSU0000,54,21427,77.7276628,13.0001915,0.0
,,,,,,-1,0,-1,,,272893,Bauhinia Purpurata (Vieill.),GN9035SI3MOP001,272893,29572055428031620000BBMPTREESENSU0000,53,21394,77.7043417,13.0014244,0.0
,,,,,,-1,0,-1,,,291528,Bauhinia Purpurata (Vieill.),GN8025IF0SAB001,291528,29572055428031620000BBMPTREESENSU0000,188,15508,77.60832759999998,12.8913661,0.0
,,,,,,-1,0,-1,,,360192,Bauhinia Purpurata (Vieill.),GN7530UC1IDL001,360192,29572055428031620000BBMPTREESENSU0000,133,15116,77.5364074,12.9612958,0.0
,,,,,,-1,0,-1,,,404075,Bauhinia Purpurata (Vieill.),GN7520MC4DRL001,404075,29572055428031620000BBMPTREESENSU0000,196,15676,77.5564545,12.8526159,0.0
,,,,,,-1,0,-1,,,437485,Bauhinia Purpurata (Vieill.),GN8025SA5FMM001,437485,29572055428031620000BBMPTREESENSU0000,176,15533,77.61257659999998,12.9046131,0.0
,,,,,,-1,0,-1,,,437937,Bauhinia Purpurata (Vieill.),GN8025SD6RSD001,437937,29572055428031620000BBMPTREESENSU0000,176,15536,77.6139656,12.9076821,0.0
,,,,,,-1,0,-1,,,437996,Bauhinia Purpurata (Vieill.),GN8025SA3ORE001,437996,29572055428031620000BBMPTREESENSU0000,176,15508,77.61147359999998,12.9048191,0.0
,,,,,,-1,0,-1,,,438648,Bauhinia Purpurata (Vieill.),GN8025SA4SWK001,438648,29572055428031620000BBMPTREESENSU0000,176,15536,77.6122316,12.9050421,0.0
,,,,,,-1,0,-1,,,439506,Bauhinia Purpurata (Vieill.),GN8025SJ5OOC001,439506,29572055428031620000BBMPTREESENSU0000,176,15536,77.61349559999998,12.9128871,0.0
