Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,TreeName,KGISTreeID,Department,KGISCode,WardNumber,KGISVillag,xcoord,ycoord,zcoord
,,,,,,-1,0,-1,,,4938,Couroupita Guianensis Abul.,GN7025SD2MQD001,4938,29572055428031620000BBMPTREESENSU4933,160,15570,77.51810899999998,12.9084469,0.0
,,,,,,-1,0,-1,,,29698,Couroupita Guianensis Abul.,GN7530CH6DQI001,29698,29572055428031620000BBMPTREESENSU0000,164,15698,77.5590064,12.9293849,0.0
,,,,,,-1,0,-1,,,29865,Couroupita Guianensis Abul.,GN7530CI7KGP001,29865,29572055428031620000BBMPTREESENSU0000,164,15698,77.5594234,12.9305829,0.0
,,,,,,-1,0,-1,,,29866,Couroupita Guianensis Abul.,GN7530CI6EJO001,29866,29572055428031620000BBMPTREESENSU0000,164,15698,77.5593364,12.9302239,0.0
,,,,,,-1,0,-1,,,50360,Couroupita Guianensis Abul.,GN7530GG3FCM001,50360,29572055428031620000BBMPTREESENSU0000,162,15688,77.5466074,12.9377189,0.0
,,,,,,-1,0,-1,,,53565,Couroupita Guianensis Abul.,GN7530KJ8IPP001,53565,29572055428031620000BBMPTREESENSU0000,157,15084,77.5426314,12.9496069,0.0
,,,,,,-1,0,-1,,,54465,Couroupita Guianensis Abul.,GN7030LD5EYF001,54465,29572055428031620000BBMPTREESENSU0000,129,15592,77.5032793,12.9444027,0.0
,,,,,,-1,0,-1,,,54495,Couroupita Guianensis Abul.,GN7030LD6AFM001,54495,29572055428031620000BBMPTREESENSU0000,129,15592,77.5033063,12.9443157,0.0
,,,,,,-1,0,-1,,,56892,Couroupita Guianensis Abul.,GN7030GH7SJM001,56892,29572055428031620000BBMPTREESENSU0000,129,15581,77.5048793,12.9394217,0.0
,,,,,,-1,0,-1,,,56896,Couroupita Guianensis Abul.,GN7030GH7SJH001,56896,29572055428031620000BBMPTREESENSU0000,129,15581,77.5049013,12.9394067,0.0
,,,,,,-1,0,-1,,,56947,Couroupita Guianensis Abul.,GN7030GH8ASN001,56947,29572055428031620000BBMPTREESENSU0000,129,15581,77.5052093,12.9389447,0.0
