Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,TreeName,KGISTreeID,Department,KGISCode,WardNumber,KGISVillag,xcoord,ycoord,zcoord
,,,,,,-1,0,-1,,,10219,Delonix Regia (Bojer Ex Hook.) Raf.,GN7030FJ7PBP001,10219,29572055428031620000BBMPTREESENSU0002,130,15592,77.4950493,12.9412847,0.0
,,,,,,-1,0,-1,,,10345,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GH5SEB001,10345,29572055428031620000BBMPTREESENSU0128,162,15101,77.5490984,12.9389289,0.0
,,,,,,-1,0,-1,,,10475,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530FJ6RYF001,10475,29572055428031620000BBMPTREESENSU0258,162,15678,77.5406454,12.9409769,0.0
,,,,,,-1,0,-1,,,10477,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530FJ6VAP001,10477,29572055428031620000BBMPTREESENSU0260,162,15678,77.5403284,12.9410299,0.0
,,,,,,-1,0,-1,,,10483,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530FJ6TPP001,10483,29572055428031620000BBMPTREESENSU0266,162,15678,77.5408814,12.9409539,0.0
,,,,,,-1,0,-1,,,10497,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530FJ6TLC001,10497,29572055428031620000BBMPTREESENSU0280,162,15678,77.54090639999998,12.9408869,0.0
,,,,,,-1,0,-1,,,10498,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530FJ6SPG001,10498,29572055428031620000BBMPTREESENSU0281,162,15678,77.5406834,12.9409389,0.0
,,,,,,-1,0,-1,,,10509,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530FJ8SXD001,10509,29572055428031620000BBMPTREESENSU0292,162,15678,77.5426494,12.9409459,0.0
,,,,,,-1,0,-1,,,10511,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530FJ8SFF001,10511,29572055428031620000BBMPTREESENSU0294,162,15678,77.5425244,12.9408479,0.0
,,,,,,-1,0,-1,,,10525,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GI3JYN001,10525,29572055428031620000BBMPTREESENSU0308,162,15101,77.54744739999998,12.9396629,0.0
,,,,,,-1,0,-1,,,10527,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GI4FQG001,10527,29572055428031620000BBMPTREESENSU0310,162,15101,77.54753139999998,12.9396059,0.0
,,,,,,-1,0,-1,,,10529,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GI4FIM001,10529,29572055428031620000BBMPTREESENSU0312,162,15101,77.5475794,12.9395539,0.0
,,,,,,-1,0,-1,,,10536,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GI4FCD001,10536,29572055428031620000BBMPTREESENSU0319,162,15101,77.54757639999998,12.9394839,0.0
,,,,,,-1,0,-1,,,10551,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GH4VUP001,10551,29572055428031620000BBMPTREESENSU0334,162,15101,77.54768339999998,12.9392979,0.0
,,,,,,-1,0,-1,,,10556,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GH4UDE001,10556,29572055428031620000BBMPTREESENSU0339,162,15101,77.54757739999998,12.9391359,0.0
,,,,,,-1,0,-1,,,10557,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GH4UNO001,10557,29572055428031620000BBMPTREESENSU0340,162,15101,77.54759939999998,12.9392239,0.0
,,,,,,-1,0,-1,,,10558,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GH4PRO001,10558,29572055428031620000BBMPTREESENSU0341,162,15101,77.5475574,12.9390779,0.0
,,,,,,-1,0,-1,,,10559,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GH4UHE001,10559,29572055428031620000BBMPTREESENSU0342,162,15101,77.5475454,12.9391699,0.0
,,,,,,-1,0,-1,,,10573,Delonix Regia (Bojer Ex Hook.) Raf.,GN7530GH4QFF001,10573,29572055428031620000BBMPTREESENSU0356,162,15101,77.5476594,12.9389889,0.0
