Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,TreeName,KGISTreeID,Department,KGISCode,WardNumber,KGISVillag,xcoord,ycoord,zcoord
,,,,,,-1,0,-1,,,30286,Michelia Longifolia Blume,GN7530CI7PHC001,30286,29572055428031620000BBMPTREESENSU0000,164,15698,77.5594514,12.9307349,0.0
,,,,,,-1,0,-1,,,78782,Michelia Longifolia Blume,GN7530ND0RLM001,78782,29572055428031620000BBMPTREESENSU0000,155,15099,77.5626634,12.9443139,0.0
,,,,,,-1,0,-1,,,121142,Michelia Longifolia Blume,GN8035DJ8NKE001,121142,29572055428031620000BBMPTREESENSU0000,90,30092,77.61656549999998,12.9761091,0.0
,,,,,,-1,0,-1,,,121146,Michelia Longifolia Blume,GN8035IA8JXN001,121146,29572055428031620000BBMPTREESENSU0000,90,30092,77.6168815,12.9769131,0.0
,,,,,,-1,0,-1,,,121147,Michelia Longifolia Blume,GN8035IA8OCL001,121147,29572055428031620000BBMPTREESENSU0000,90,30092,77.6168605,12.9769431,0.0
,,,,,,-1,0,-1,,,121189,Michelia Longifolia Blume,GN8035DJ8BQB001,121189,29572055428031620000BBMPTREESENSU0000,90,30092,77.6162365,12.9757791,0.0
,,,,,,-1,0,-1,,,121191,Michelia Longifolia Blume,GN8035DI8PCG001,121191,29572055428031620000BBMPTREESENSU0000,90,30092,77.6160995,12.9753141,0.0
,,,,,,-1,0,-1,,,121281,Michelia Longifolia Blume,GN8035NB9SYD001,121281,29572055428031620000BBMPTREESENSU0000,90,30092,77.6177825,12.9871741,0.0
,,,,,,-1,0,-1,,,121290,Michelia Longifolia Blume,GN8035OC0KBP001,121290,29572055428031620000BBMPTREESENSU0000,90,30092,77.61803949999998,12.9877781,0.0
,,,,,,-1,0,-1,,,121445,Michelia Longifolia Blume,GN8035JD6KTN001,121445,29572055428031620000BBMPTREESENSU0000,90,15072,77.6235745,12.9797061,0.0
,,,,,,-1,0,-1,,,121505,Michelia Longifolia Blume,GN8035JA4MJC001,121505,29572055428031620000BBMPTREESENSU0000,90,15072,77.6220835,12.9769061,0.0
,,,,,,-1,0,-1,,,121507,Michelia Longifolia Blume,GN8035JA4MTK001,121507,29572055428031620000BBMPTREESENSU0000,90,15072,77.6220835,12.9770011,0.0
,,,,,,-1,0,-1,,,121581,Michelia Longifolia Blume,GN8035JD7VSG001,121581,29572055428031620000BBMPTREESENSU0000,90,15072,77.62466349999998,12.9800311,0.0
,,,,,,-1,0,-1,,,121584,Michelia Longifolia Blume,GN8035JE7BTD001,121584,29572055428031620000BBMPTREESENSU0000,90,15072,77.62470349999998,12.9802051,0.0
,,,,,,-1,0,-1,,,121608,Michelia Longifolia Blume,GN8035JD8KRB001,121608,29572055428031620000BBMPTREESENSU0000,90,15072,77.6253495,12.9796551,0.0
,,,,,,-1,0,-1,,,121612,Michelia Longifolia Blume,GN8035JD8PHC001,121612,29572055428031620000BBMPTREESENSU0000,90,15072,77.6253585,12.9797621,0.0
,,,,,,-1,0,-1,,,121623,Michelia Longifolia Blume,GN8035JE8CTI001,121623,29572055428031620000BBMPTREESENSU0000,90,15072,77.6257805,12.9802171,0.0
,,,,,,-1,0,-1,,,121624,Michelia Longifolia Blume,GN8035JE8CSI001,121624,29572055428031620000BBMPTREESENSU0000,90,15072,77.6257495,12.9802131,0.0
,,,,,,-1,0,-1,,,121725,Michelia Longifolia Blume,GN8035EJ7JUD001,121725,29572055428031620000BBMPTREESENSU0000,90,30092,77.6250715,12.9759051,0.0
,,,,,,-1,0,-1,,,121728,Michelia Longifolia Blume,GN8035EJ7FLG001,121728,29572055428031620000BBMPTREESENSU0000,90,30092,77.62436049999998,12.9758501,0.0
,,,,,,-1,0,-1,,,121732,Michelia Longifolia Blume,GN8035EJ6TEO001,121732,29572055428031620000BBMPTREESENSU0000,90,30092,77.6242825,12.9761571,0.0
,,,,,,-1,0,-1,,,121852,Michelia Longifolia Blume,GN8035IJ9OXK001,121852,29572055428031620000BBMPTREESENSU0000,90,30092,77.61789949999998,12.9852101,0.0
,,,,,,-1,0,-1,,,122524,Michelia Longifolia Blume,GN8535LD9ERA001,122524,29572055428031620000BBMPTREESENSU0000,79,21388,77.6455076,12.9881302,0.0
,,,,,,-1,0,-1,,,122575,Michelia Longifolia Blume,GN8535LC9MSD001,122575,29572055428031620000BBMPTREESENSU0000,79,21388,77.64520159999998,12.9875882,0.0
,,,,,,-1,0,-1,,,122582,Michelia Longifolia Blume,GN8535LC9NSJ001,122582,29572055428031620000BBMPTREESENSU0000,79,21388,77.6453676,12.9876032,0.0
,,,,,,-1,0,-1,,,122629,Michelia Longifolia Blume,GN8535LC9BMC001,122629,29572055428031620000BBMPTREESENSU0000,79,21388,77.6449686,12.9871902,0.0
,,,,,,-1,0,-1,,,122700,Michelia Longifolia Blume,GN8535LB9RTI001,122700,29572055428031620000BBMPTREESENSU0000,79,21388,77.6451966,12.9868832,0.0
,,,,,,-1,0,-1,,,122799,Michelia Longifolia Blume,GN8535MB0KMN001,122799,29572055428031620000BBMPTREESENSU0000,79,21388,77.6456876,12.9866722,0.0
,,,,,,-1,0,-1,,,122801,Michelia Longifolia Blume,GN8535MB0KLG001,122801,29572055428031620000BBMPTREESENSU0000,79,21388,77.6456576,12.9866532,0.0
,,,,,,-1,0,-1,,,123755,Michelia Longifolia Blume,GN8535FI7YPD001,123755,29572055428031620000BBMPTREESENSU0000,79,15118,77.6343726,12.9844472,0.0
,,,,,,-1,0,-1,,,124650,Michelia Longifolia Blume,GN8535KJ0FBF001,124650,29572055428031620000BBMPTREESENSU0000,79,15123,77.6273015,12.9938091,0.0
,,,,,,-1,0,-1,,,124651,Michelia Longifolia Blume,GN8535KJ0AQJ001,124651,29572055428031620000BBMPTREESENSU0000,79,15123,77.6272995,12.9937531,0.0
,,,,,,-1,0,-1,,,124652,Michelia Longifolia Blume,GN8035OJ9EYL001,124652,29572055428031620000BBMPTREESENSU0000,79,15123,77.6272445,12.9937861,0.0
,,,,,,-1,0,-1,,,124700,Michelia Longifolia Blume,GN8035OJ7GLD001,124700,29572055428031620000BBMPTREESENSU0000,79,15123,77.6247395,12.9939051,0.0
