Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,TreeName,KGISTreeID,Department,KGISCode,WardNumber,KGISVillag,xcoord,ycoord,zcoord
,,,,,,-1,0,-1,,,776,Spathodea Campanulata P. Beauv,GN7025XC1XSB001,776,29572055428031620000BBMPTREESENSU0773,160,15570,77.517514,12.9169429,0.0
,,,,,,-1,0,-1,,,786,Spathodea Campanulata P. Beauv,GN7025XC1STG001,786,29572055428031620000BBMPTREESENSU0783,160,15570,77.517561,12.9167669,0.0
,,,,,,-1,0,-1,,,10703,Spathodea Campanulata P. Beauv,GN7530FC5TGH001,10703,29572055428031620000BBMPTREESENSU0486,162,15688,77.5399314,12.9345439,0.0
,,,,,,-1,0,-1,,,10706,Spathodea Campanulata P. Beauv,GN7530FC5TQF001,10706,29572055428031620000BBMPTREESENSU0489,162,15688,77.5399144,12.9346199,0.0
,,,,,,-1,0,-1,,,10711,Spathodea Campanulata P. Beauv,GN7530FC5YTG001,10711,29572055428031620000BBMPTREESENSU0494,162,15688,77.5400384,12.9347979,0.0
,,,,,,-1,0,-1,,,10713,Spathodea Campanulata P. Beauv,GN7530FD5EMH001,10713,29572055428031620000BBMPTREESENSU0496,162,15688,77.5399704,12.9349439,0.0
,,,,,,-1,0,-1,,,10716,Spathodea Campanulata P. Beauv,GN7530FD5ENK001,10716,29572055428031620000BBMPTREESENSU0499,162,15688,77.5400054,12.9349559,0.0
,,,,,,-1,0,-1,,,10721,Spathodea Campanulata P. Beauv,GN7530FD5EYK001,10721,29572055428031620000BBMPTREESENSU0504,162,15688,77.5400394,12.9350279,0.0
,,,,,,-1,0,-1,,,10722,Spathodea Campanulata P. Beauv,GN7530FD6FLL001,10722,29572055428031620000BBMPTREESENSU0505,162,15688,77.54011939999998,12.9351309,0.0
,,,,,,-1,0,-1,,,10725,Spathodea Campanulata P. Beauv,GN7530FD6FGJ001,10725,29572055428031620000BBMPTREESENSU0508,162,15688,77.5401004,12.9350999,0.0
,,,,,,-1,0,-1,,,10728,Spathodea Campanulata P. Beauv,GN7530FD6PHI001,10728,29572055428031620000BBMPTREESENSU0511,162,15688,77.54013639999998,12.9354589,0.0
,,,,,,-1,0,-1,,,10731,Spathodea Campanulata P. Beauv,GN7530FD6QFF001,10731,29572055428031620000BBMPTREESENSU0514,162,15688,77.54025439999998,12.9354489,0.0
,,,,,,-1,0,-1,,,10740,Spathodea Campanulata P. Beauv,GN7530FC6BGD001,10740,29572055428031620000BBMPTREESENSU0523,162,15688,77.54029439999998,12.9339939,0.0
,,,,,,-1,0,-1,,,10771,Spathodea Campanulata P. Beauv,GN7530GF0OSI001,10771,29572055428031620000BBMPTREESENSU0554,162,15688,77.5446074,12.9371129,0.0
,,,,,,-1,0,-1,,,10778,Spathodea Campanulata P. Beauv,GN7530GG1AAN001,10778,29572055428031620000BBMPTREESENSU0561,162,15688,77.5446974,12.9375509,0.0
,,,,,,-1,0,-1,,,10788,Spathodea Campanulata P. Beauv,GN7530GG1RUM001,10788,29572055428031620000BBMPTREESENSU0571,162,15688,77.54506639999998,12.9382339,0.0
,,,,,,-1,0,-1,,,10803,Spathodea Campanulata P. Beauv,GN7530GA0LVO001,10803,29572055428031620000BBMPTREESENSU0586,162,15688,77.5439544,12.9326439,0.0
,,,,,,-1,0,-1,,,10806,Spathodea Campanulata P. Beauv,GN7530GA0LJF001,10806,29572055428031620000BBMPTREESENSU0589,162,15688,77.5440564,12.9325199,0.0
,,,,,,-1,0,-1,,,10807,Spathodea Campanulata P. Beauv,GN7530GA0MPJ001,10807,29572055428031620000BBMPTREESENSU0590,162,15688,77.54409339999998,12.9326009,0.0
,,,,,,-1,0,-1,,,10810,Spathodea Campanulata P. Beauv,GN7530GA0LTP001,10810,29572055428031620000BBMPTREESENSU0593,162,15688,77.5440734,12.9326089,0.0
,,,,,,-1,0,-1,,,10822,Spathodea Campanulata P. Beauv,GN7530GA0KWN001,10822,29572055428031620000BBMPTREESENSU0605,162,15688,77.5437974,12.9326439,0.0
,,,,,,-1,0,-1,,,10823,Spathodea Campanulata P. Beauv,GN7530GA0KQM001,10823,29572055428031620000BBMPTREESENSU0606,162,15688,77.54375539999998,12.9326169,0.0
,,,,,,-1,0,-1,,,10824,Spathodea Campanulata P. Beauv,GN7530FA9OSN001,10824,29572055428031620000BBMPTREESENSU0607,162,15688,77.5436524,12.9326159,0.0
,,,,,,-1,0,-1,,,10825,Spathodea Campanulata P. Beauv,GN7530FA9TDF001,10825,29572055428031620000BBMPTREESENSU0608,162,15688,77.54365339999998,12.9326649,0.0
,,,,,,-1,0,-1,,,10830,Spathodea Campanulata P. Beauv,GN7530GA0UKH001,10830,29572055428031620000BBMPTREESENSU0613,162,15688,77.54374339999998,12.9329189,0.0
,,,,,,-1,0,-1,,,10841,Spathodea Campanulata P. Beauv,GN7530GA0WAB001,10841,29572055428031620000BBMPTREESENSU0624,162,15688,77.5441004,12.9328379,0.0
,,,,,,-1,0,-1,,,10844,Spathodea Campanulata P. Beauv,GN7530GA0RYE001,10844,29572055428031620000BBMPTREESENSU0627,162,15688,77.5442364,12.9328049,0.0
,,,,,,-1,0,-1,,,10854,Spathodea Campanulata P. Beauv,GN7530GA0HWJ001,10854,29572055428031620000BBMPTREESENSU0637,162,15688,77.5441644,12.9324549,0.0
,,,,,,-1,0,-1,,,10855,Spathodea Campanulata P. Beauv,GN7530GA0MBK001,10855,29572055428031620000BBMPTREESENSU0638,162,15688,77.5441424,12.9324899,0.0
,,,,,,-1,0,-1,,,10856,Spathodea Campanulata P. Beauv,GN7530GA0MNG001,10856,29572055428031620000BBMPTREESENSU0639,162,15688,77.5442144,12.9325579,0.0
,,,,,,-1,0,-1,,,10857,Spathodea Campanulata P. Beauv,GN7530GA0MMP001,10857,29572055428031620000BBMPTREESENSU0640,162,15688,77.54418339999998,12.9325719,0.0
,,,,,,-1,0,-1,,,10858,Spathodea Campanulata P. Beauv,GN7530GA0MHL001,10858,29572055428031620000BBMPTREESENSU0641,162,15688,77.5441844,12.9325229,0.0
,,,,,,-1,0,-1,,,10859,Spathodea Campanulata P. Beauv,GN7530GA0MIB001,10859,29572055428031620000BBMPTREESENSU0642,162,15688,77.54420639999998,12.9325089,0.0
,,,,,,-1,0,-1,,,10860,Spathodea Campanulata P. Beauv,GN7530GA0MNK001,10860,29572055428031620000BBMPTREESENSU0643,162,15688,77.5442154,12.9325609,0.0
,,,,,,-1,0,-1,,,10861,Spathodea Campanulata P. Beauv,GN7530GA0HVP001,10861,29572055428031620000BBMPTREESENSU0644,162,15688,77.5441454,12.9324679,0.0
,,,,,,-1,0,-1,,,10862,Spathodea Campanulata P. Beauv,GN7530GA0MHF001,10862,29572055428031620000BBMPTREESENSU0645,162,15688,77.54416639999998,12.9325219,0.0
,,,,,,-1,0,-1,,,10882,Spathodea Campanulata P. Beauv,GN7530GA0QJI001,10882,29572055428031620000BBMPTREESENSU0665,162,15688,77.5440504,12.9327109,0.0
,,,,,,-1,0,-1,,,10883,Spathodea Campanulata P. Beauv,GN7530GA0UII001,10883,29572055428031620000BBMPTREESENSU0666,162,15688,77.5438304,12.9328879,0.0
,,,,,,-1,0,-1,,,11540,Spathodea Campanulata P. Beauv,GN7530HF7AKC001,11540,29572055428031620000BBMPTREESENSU1323,164,15158,77.55943739999998,12.9365529,0.0
,,,,,,-1,0,-1,,,12031,Spathodea Campanulata P. Beauv,GN7530HE7JTD001,12031,29572055428031620000BBMPTREESENSU1814,164,15158,77.5603224,12.9358529,0.0
,,,,,,-1,0,-1,,,12056,Spathodea Campanulata P. Beauv,GN7530HE8GMI001,12056,29572055428031620000BBMPTREESENSU1839,164,15158,77.5605914,12.9358339,0.0
,,,,,,-1,0,-1,,,12062,Spathodea Campanulata P. Beauv,GN7530HE8LYD001,12062,29572055428031620000BBMPTREESENSU1845,164,15158,77.56068639999998,12.9360709,0.0
,,,,,,-1,0,-1,,,12070,Spathodea Campanulata P. Beauv,GN7530HE8RBF001,12070,29572055428031620000BBMPTREESENSU1853,164,15158,77.56074739999998,12.9361139,0.0
,,,,,,-1,0,-1,,,12076,Spathodea Campanulata P. Beauv,GN7530HE8MVM001,12076,29572055428031620000BBMPTREESENSU1859,164,15158,77.56073639999998,12.9360979,0.0
,,,,,,-1,0,-1,,,12287,Spathodea Campanulata P. Beauv,GN7530HB5RCG001,12287,29572055428031620000BBMPTREESENSU2070,164,15698,77.5580024,12.9334329,0.0
,,,,,,-1,0,-1,,,12316,Spathodea Campanulata P. Beauv,GN7530HA4NUG001,12316,29572055428031620000BBMPTREESENSU2099,164,15698,77.5571784,12.9325019,0.0
,,,,,,-1,0,-1,,,12361,Spathodea Campanulata P. Beauv,GN7530HA4OGP001,12361,29572055428031620000BBMPTREESENSU2144,164,15698,77.5574124,12.9324059,0.0
,,,,,,-1,0,-1,,,12376,Spathodea Campanulata P. Beauv,GN7530HA4HCP001,12376,29572055428031620000BBMPTREESENSU2159,164,15698,77.5570814,12.9321949,0.0
,,,,,,-1,0,-1,,,12726,Spathodea Campanulata P. Beauv,GN7530CJ6NVB001,12726,29572055428031620000BBMPTREESENSU2509,164,15698,77.5590444,12.9315709,0.0
,,,,,,-1,0,-1,,,12729,Spathodea Campanulata P. Beauv,GN7530CJ6NNH001,12729,29572055428031620000BBMPTREESENSU2512,164,15698,77.5591314,12.9315019,0.0
,,,,,,-1,0,-1,,,12970,Spathodea Campanulata P. Beauv,GN7530CH7KPG001,12970,29572055428031620000BBMPTREESENSU2753,164,15698,77.55936339999998,12.9297289,0.0
,,,,,,-1,0,-1,,,12979,Spathodea Campanulata P. Beauv,GN7530CH7KUM001,12979,29572055428031620000BBMPTREESENSU2762,164,15698,77.5593504,12.9297849,0.0
,,,,,,-1,0,-1,,,12985,Spathodea Campanulata P. Beauv,GN7530CH7PAB001,12985,29572055428031620000BBMPTREESENSU2768,164,15698,77.55935239999998,12.9297929,0.0
,,,,,,-1,0,-1,,,12999,Spathodea Campanulata P. Beauv,GN7530CH7PKF001,12999,29572055428031620000BBMPTREESENSU2782,164,15698,77.5593544,12.9298759,0.0
,,,,,,-1,0,-1,,,13037,Spathodea Campanulata P. Beauv,GN7530CH7UFC001,13037,29572055428031620000BBMPTREESENSU2820,164,15698,77.55936939999998,12.9300119,0.0
,,,,,,-1,0,-1,,,13039,Spathodea Campanulata P. Beauv,GN7530CH7UIE001,13039,29572055428031620000BBMPTREESENSU2822,164,15698,77.5594604,12.9300239,0.0
,,,,,,-1,0,-1,,,13069,Spathodea Campanulata P. Beauv,GN7530CH7PJF001,13069,29572055428031620000BBMPTREESENSU2852,164,15698,77.55950339999998,12.9298429,0.0
,,,,,,-1,0,-1,,,13124,Spathodea Campanulata P. Beauv,GN7530CG7ROB001,13124,29572055428031620000BBMPTREESENSU2907,164,15698,77.5598634,12.9289579,0.0
,,,,,,-1,0,-1,,,13166,Spathodea Campanulata P. Beauv,GN7530CG7WIB001,13166,29572055428031620000BBMPTREESENSU2949,164,15698,77.55983139999998,12.9291059,0.0
,,,,,,-1,0,-1,,,24616,Spathodea Campanulata P. Beauv,GN7530BH2SLC001,24616,29572055428031620000BBMPTREESENSU0000,162,15688,77.54614139999998,12.9299999,0.0
,,,,,,-1,0,-1,,,24618,Spathodea Campanulata P. Beauv,GN7530BH2MGB001,24618,29572055428031620000BBMPTREESENSU0000,162,15688,77.5459474,12.9297839,0.0
,,,,,,-1,0,-1,,,24743,Spathodea Campanulata P. Beauv,GN7530GA5GGO001,24743,29572055428031620000BBMPTREESENSU0000,162,15698,77.5485554,12.9323119,0.0
,,,,,,-1,0,-1,,,24773,Spathodea Campanulata P. Beauv,GN7530GC4BOA001,24773,29572055428031620000BBMPTREESENSU0000,162,15688,77.5477474,12.9339529,0.0
,,,,,,-1,0,-1,,,28345,Spathodea Campanulata P. Beauv,GN7530CF5KQK001,28345,29572055428031620000BBMPTREESENSU0000,164,15698,77.5575434,12.9279489,0.0
,,,,,,-1,0,-1,,,28477,Spathodea Campanulata P. Beauv,GN7530CF5UHE001,28477,29572055428031620000BBMPTREESENSU0000,164,15698,77.5575604,12.9282289,0.0
,,,,,,-1,0,-1,,,28525,Spathodea Campanulata P. Beauv,GN7530CF5TVL001,28525,29572055428031620000BBMPTREESENSU0000,164,15698,77.5582854,12.9281609,0.0
,,,,,,-1,0,-1,,,33896,Spathodea Campanulata P. Beauv,GN7530GE4ITK001,33896,29572055428031620000BBMPTREESENSU0000,162,15101,77.5481544,12.9359979,0.0
,,,,,,-1,0,-1,,,33906,Spathodea Campanulata P. Beauv,GN7530GF5NGA001,33906,29572055428031620000BBMPTREESENSU0000,162,15101,77.54895539999998,12.9369779,0.0
,,,,,,-1,0,-1,,,33908,Spathodea Campanulata P. Beauv,GN7530GF5TFC001,33908,29572055428031620000BBMPTREESENSU0000,162,15101,77.5491224,12.9371559,0.0
,,,,,,-1,0,-1,,,33913,Spathodea Campanulata P. Beauv,GN7530GG6HPK001,33913,29572055428031620000BBMPTREESENSU0000,162,15101,77.5496834,12.9377889,0.0
,,,,,,-1,0,-1,,,33932,Spathodea Campanulata P. Beauv,GN7530GH9KMP001,33932,29572055428031620000BBMPTREESENSU0000,162,15101,77.5521714,12.9388139,0.0
,,,,,,-1,0,-1,,,33943,Spathodea Campanulata P. Beauv,GN7530GG6SSO001,33943,29572055428031620000BBMPTREESENSU0000,162,15101,77.54998539999998,12.9381559,0.0
,,,,,,-1,0,-1,,,33948,Spathodea Campanulata P. Beauv,GN7530GF5MSI001,33948,29572055428031620000BBMPTREESENSU0000,162,15101,77.54884439999998,12.9370709,0.0
,,,,,,-1,0,-1,,,34007,Spathodea Campanulata P. Beauv,GN7530GA0VVK001,34007,29572055428031620000BBMPTREESENSU0000,162,15688,77.5439564,12.9329969,0.0
,,,,,,-1,0,-1,,,34040,Spathodea Campanulata P. Beauv,GN7530FB7TXM001,34040,29572055428031620000BBMPTREESENSU0000,162,15688,77.5418154,12.9337499,0.0
,,,,,,-1,0,-1,,,34064,Spathodea Campanulata P. Beauv,GN7530FB9FDO001,34064,29572055428031620000BBMPTREESENSU0000,162,15688,77.5429314,12.9332389,0.0
,,,,,,-1,0,-1,,,34149,Spathodea Campanulata P. Beauv,GN7530FC6MRA001,34149,29572055428031620000BBMPTREESENSU0000,162,15688,77.54049639999998,12.9344229,0.0
,,,,,,-1,0,-1,,,34169,Spathodea Campanulata P. Beauv,GN7530FD6RPK001,34169,29572055428031620000BBMPTREESENSU0000,162,15688,77.5404474,12.9355239,0.0
,,,,,,-1,0,-1,,,34178,Spathodea Campanulata P. Beauv,GN7530FD6VBC001,34178,29572055428031620000BBMPTREESENSU0000,162,15688,77.5403064,12.9355809,0.0
,,,,,,-1,0,-1,,,34182,Spathodea Campanulata P. Beauv,GN7530FD6WEH001,34182,29572055428031620000BBMPTREESENSU0000,162,15688,77.54060939999998,12.9355919,0.0
,,,,,,-1,0,-1,,,34310,Spathodea Campanulata P. Beauv,GN7530FD8VAO001,34310,29572055428031620000BBMPTREESENSU0000,162,15688,77.54210639999998,12.9355889,0.0
,,,,,,-1,0,-1,,,34311,Spathodea Campanulata P. Beauv,GN7530FD8VDK001,34311,29572055428031620000BBMPTREESENSU0000,162,15688,77.5422154,12.9355829,0.0
,,,,,,-1,0,-1,,,34325,Spathodea Campanulata P. Beauv,GN7530FD7XFL001,34325,29572055428031620000BBMPTREESENSU0000,162,15688,77.54156539999998,12.9356229,0.0
,,,,,,-1,0,-1,,,34326,Spathodea Campanulata P. Beauv,GN7530FD7WJI001,34326,29572055428031620000BBMPTREESENSU0000,162,15688,77.5415014,12.9356209,0.0
,,,,,,-1,0,-1,,,34327,Spathodea Campanulata P. Beauv,GN7530FD7WDP001,34327,29572055428031620000BBMPTREESENSU0000,162,15688,77.5414914,12.9355999,0.0
,,,,,,-1,0,-1,,,34334,Spathodea Campanulata P. Beauv,GN7530FD7TBI001,34334,29572055428031620000BBMPTREESENSU0000,162,15688,77.5417534,12.9354089,0.0
,,,,,,-1,0,-1,,,34336,Spathodea Campanulata P. Beauv,GN7530FD7NIA001,34336,29572055428031620000BBMPTREESENSU0000,162,15688,77.54164439999998,12.9352439,0.0
,,,,,,-1,0,-1,,,34339,Spathodea Campanulata P. Beauv,GN7530FD7OKB001,34339,29572055428031620000BBMPTREESENSU0000,162,15688,77.54172939999998,12.9352799,0.0
