Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,TreeName,KGISTreeID,Department,KGISCode,WardNumber,KGISVillag,xcoord,ycoord,zcoord
,,,,,,-1,0,-1,,,25,Thespesia Populnea,GN7025XA5QDE001,25,29572055428031620000BBMPTREESENSU0022,160,15570,77.52079999999998,12.9148269,0.0
,,,,,,-1,0,-1,,,663,Thespesia Populnea,GN7025XC0ANM001,663,29572055428031620000BBMPTREESENSU0660,160,15570,77.51603,12.9162279,0.0
,,,,,,-1,0,-1,,,675,Thespesia Populnea,GN7025XC0CUK001,675,29572055428031620000BBMPTREESENSU0672,160,15570,77.516304,12.9162839,0.0
,,,,,,-1,0,-1,,,702,Thespesia Populnea,GN7025XC0JTL001,702,29572055428031620000BBMPTREESENSU0699,160,15570,77.51683099999998,12.9164219,0.0
,,,,,,-1,0,-1,,,811,Thespesia Populnea,GN7025XB1RQD001,811,29572055428031620000BBMPTREESENSU0808,160,15570,77.51726499999998,12.9158579,0.0
,,,,,,-1,0,-1,,,1085,Thespesia Populnea,GN7025XG4ADF001,1085,29572055428031620000BBMPTREESENSU1082,160,15570,77.519755,12.9197149,0.0
,,,,,,-1,0,-1,,,1141,Thespesia Populnea,GN7025SH4DJJ001,1141,29572055428031620000BBMPTREESENSU1138,160,15570,77.520267,12.9116219,0.0
,,,,,,-1,0,-1,,,1168,Thespesia Populnea,GN7025SH4WFA001,1168,29572055428031620000BBMPTREESENSU1165,160,15570,77.51992799999998,12.9123269,0.0
,,,,,,-1,0,-1,,,1434,Thespesia Populnea,GN7025SJ1SEC001,1434,29572055428031620000BBMPTREESENSU1430,160,15570,77.51752899999998,12.9139409,0.0
,,,,,,-1,0,-1,,,1728,Thespesia Populnea,GN7025SG5QME001,1728,29572055428031620000BBMPTREESENSU1724,160,15570,77.52072599999998,12.9112819,0.0
,,,,,,-1,0,-1,,,2222,Thespesia Populnea,GN7025SH2MQH001,2222,29572055428031620000BBMPTREESENSU2218,160,15570,77.51815399999998,12.9120679,0.0
,,,,,,-1,0,-1,,,3036,Thespesia Populnea,GN7025XB6VGJ001,3036,29572055428031620000BBMPTREESENSU3031,160,15570,77.52167,12.9159419,0.0
,,,,,,-1,0,-1,,,3630,Thespesia Populnea,GN7030CC9AUJ001,3630,29572055428031620000BBMPTREESENSU3625,160,15570,77.515095,12.9253279,0.0
,,,,,,-1,0,-1,,,3865,Thespesia Populnea,GN7030CC8ESM001,3865,29572055428031620000BBMPTREESENSU3860,160,15570,77.515011,12.9253069,0.0
,,,,,,-1,0,-1,,,3983,Thespesia Populnea,GN7030CA9RDB001,3983,29572055428031620000BBMPTREESENSU3978,160,15570,77.515562,12.9238959,0.0
,,,,,,-1,0,-1,,,4664,Thespesia Populnea,GN7025WC8RRL001,4664,29572055428031620000BBMPTREESENSU4659,160,15570,77.514554,12.9168109,0.0
,,,,,,-1,0,-1,,,5520,Thespesia Populnea,GN7025TF0IQB001,5520,29572055428031620000BBMPTREESENSU5515,160,15570,77.525661,12.9099979,0.0
,,,,,,-1,0,-1,,,5554,Thespesia Populnea,GN7025TF0NAJ001,5554,29572055428031620000BBMPTREESENSU5549,160,15570,77.52562399999998,12.9100879,0.0
,,,,,,-1,0,-1,,,5748,Thespesia Populnea,GN7025SF8JIJ001,5748,29572055428031620000BBMPTREESENSU5742,160,15570,77.524082,12.9099569,0.0
,,,,,,-1,0,-1,,,5762,Thespesia Populnea,GN7025SF8JHC001,5762,29572055428031620000BBMPTREESENSU5756,160,15570,77.52404799999998,12.9099409,0.0
,,,,,,-1,0,-1,,,6586,Thespesia Populnea,GN7025NI4QLL001,6586,29572055428031620000BBMPTREESENSU6561,160,15681,77.51972999999998,12.9040749,0.0
,,,,,,-1,0,-1,,,6831,Thespesia Populnea,GN7025SA4BDF001,6831,29572055428031620000BBMPTREESENSU6802,160,15681,77.519796,12.9052569,0.0
,,,,,,-1,0,-1,,,8045,Thespesia Populnea,GN7025NJ7BKO001,8045,29572055428031620000BBMPTREESENSU7997,160,15681,77.52245,12.9044179,0.0
,,,,,,-1,0,-1,,,8053,Thespesia Populnea,GN7025NJ7BGO001,8053,29572055428031620000BBMPTREESENSU8002,160,15681,77.52248,12.9043839,0.0
,,,,,,-1,0,-1,,,8159,Thespesia Populnea,GN7025SE6VCP001,8159,29572055428031620000BBMPTREESENSU8103,160,15570,77.521662,12.9095909,0.0
,,,,,,-1,0,-1,,,8965,Thespesia Populnea,GN7030DB7GVD001,8965,29572055428031620000BBMPTREESENSU8874,160,15570,77.522698,12.9245189,0.0
,,,,,,-1,0,-1,,,9919,Thespesia Populnea,GN7030EC0EPC001,9919,29572055428031620000BBMPTREESENSU9808,160,15570,77.525976,12.9251759,0.0
,,,,,,-1,0,-1,,,10363,Thespesia Populnea,GN7530GJ2LWD001,10363,29572055428031620000BBMPTREESENSU0146,162,15678,77.5459264,12.9407339,0.0
,,,,,,-1,0,-1,,,10422,Thespesia Populnea,GN7530GJ1HJD001,10422,29572055428031620000BBMPTREESENSU0205,162,15678,77.5452624,12.9404459,0.0
,,,,,,-1,0,-1,,,10659,Thespesia Populnea,GN8035AB6EON001,10659,29572055428031620000BBMPTREESENSU0442,110,30092,77.5873505,12.968824,0.0
,,,,,,-1,0,-1,,,10663,Thespesia Populnea,GN8035AC6EHI001,10663,29572055428031620000BBMPTREESENSU0446,110,30092,77.58727949999998,12.969686,0.0
,,,,,,-1,0,-1,,,10669,Thespesia Populnea,GN8035AC6SOM001,10669,29572055428031620000BBMPTREESENSU0452,110,15150,77.58717849999998,12.970277,0.0
,,,,,,-1,0,-1,,,11040,Thespesia Populnea,GN8030WF2QID001,11040,29572055428031620000BBMPTREESENSU0823,111,30092,77.6014725,12.9637471,0.0
,,,,,,-1,0,-1,,,11044,Thespesia Populnea,GN7530ME2IPH001,11044,29572055428031620000BBMPTREESENSU0827,156,15099,77.55547439999998,12.9449499,0.0
,,,,,,-1,0,-1,,,11075,Thespesia Populnea,GN7530HF6QJB001,11075,29572055428031620000BBMPTREESENSU0858,164,15158,77.5588434,12.9370619,0.0
,,,,,,-1,0,-1,,,11423,Thespesia Populnea,GN7530HF6RPL001,11423,29572055428031620000BBMPTREESENSU1206,164,15158,77.5588984,12.9371529,0.0
,,,,,,-1,0,-1,,,11465,Thespesia Populnea,GN7530HG6HNH001,11465,29572055428031620000BBMPTREESENSU1248,164,15158,77.5590104,12.9376489,0.0
,,,,,,-1,0,-1,,,11816,Thespesia Populnea,GN8030WD2WVB001,11816,29572055428031620000BBMPTREESENSU1599,111,15071,77.60154149999998,12.9622261,0.0
,,,,,,-1,0,-1,,,11953,Thespesia Populnea,GN8030WC1QRC001,11953,29572055428031620000BBMPTREESENSU1736,111,15071,77.60047849999998,12.9611191,0.0
,,,,,,-1,0,-1,,,12004,Thespesia Populnea,GN7530HE9MHK001,12004,29572055428031620000BBMPTREESENSU1787,164,15158,77.56171639999998,12.9359719,0.0
,,,,,,-1,0,-1,,,12099,Thespesia Populnea,GN7530HE8AMD001,12099,29572055428031620000BBMPTREESENSU1882,164,15158,77.56042639999998,12.9356419,0.0
,,,,,,-1,0,-1,,,12121,Thespesia Populnea,GN7530HG9TAK001,12121,29572055428031620000BBMPTREESENSU1904,164,15158,77.5620284,12.9379169,0.0
,,,,,,-1,0,-1,,,12481,Thespesia Populnea,GN7530HH6PPE001,12481,29572055428031620000BBMPTREESENSU2264,164,15099,77.55851839999998,12.9389589,0.0
,,,,,,-1,0,-1,,,12491,Thespesia Populnea,GN7530HI7CAO001,12491,29572055428031620000BBMPTREESENSU2274,164,15158,77.55982539999998,12.9392149,0.0
,,,,,,-1,0,-1,,,12907,Thespesia Populnea,GN7530HI7KUP001,12907,29572055428031620000BBMPTREESENSU2690,164,15099,77.5594724,12.9397209,0.0
,,,,,,-1,0,-1,,,12960,Thespesia Populnea,GN7530HI5TMJ001,12960,29572055428031620000BBMPTREESENSU2743,164,15099,77.5584244,12.9398319,0.0
,,,,,,-1,0,-1,,,18079,Thespesia Populnea,GN7530CF3DUJ001,18079,29572055428031620000BBMPTREESENSU0000,164,15698,77.5562014,12.9276359,0.0
,,,,,,-1,0,-1,,,19003,Thespesia Populnea,GN7530CF3MCH001,19003,29572055428031620000BBMPTREESENSU0000,164,15698,77.5561124,12.9278479,0.0
,,,,,,-1,0,-1,,,19535,Thespesia Populnea,GN7530HJ9AJA001,19535,29572055428031620000BBMPTREESENSU0000,164,15099,77.5614424,12.9401099,0.0
,,,,,,-1,0,-1,,,21607,Thespesia Populnea,GN7025WF5CCD001,21607,29572055428031620000BBMPTREESENSU0000,160,15570,77.51181029999998,12.9188708,0.0
,,,,,,-1,0,-1,,,22600,Thespesia Populnea,GN7030CD7FFA001,22600,29572055428031620000BBMPTREESENSU0000,160,15581,77.5132593,12.9263018,0.0
,,,,,,-1,0,-1,,,28087,Thespesia Populnea,GN7530CF5CUB001,28087,29572055428031620000BBMPTREESENSU0000,164,15698,77.5578564,12.9276049,0.0
,,,,,,-1,0,-1,,,28135,Thespesia Populnea,GN7530CF5GAK001,28135,29572055428031620000BBMPTREESENSU0000,164,15698,77.5576884,12.9276569,0.0
,,,,,,-1,0,-1,,,28140,Thespesia Populnea,GN7530CF5GGK001,28140,29572055428031620000BBMPTREESENSU0000,164,15698,77.5577264,12.9276929,0.0
,,,,,,-1,0,-1,,,31511,Thespesia Populnea,GN7530FA7TNK001,31511,29572055428031620000BBMPTREESENSU0000,162,15688,77.54181939999998,12.9327659,0.0
,,,,,,-1,0,-1,,,32658,Thespesia Populnea,GN7530FA9QRH001,32658,29572055428031620000BBMPTREESENSU0000,162,15688,77.5430824,12.9327799,0.0
,,,,,,-1,0,-1,,,34160,Thespesia Populnea,GN7530FD6MFD001,34160,29572055428031620000BBMPTREESENSU0000,162,15688,77.54045139999998,12.9352519,0.0
,,,,,,-1,0,-1,,,34665,Thespesia Populnea,GN7530NA1DSB001,34665,29572055428031620000BBMPTREESENSU0000,164,15158,77.56381539999998,12.9410579,0.0
,,,,,,-1,0,-1,,,34937,Thespesia Populnea,GN7530FH5PFF001,34937,29572055428031620000BBMPTREESENSU0000,162,15688,77.5391884,12.9390679,0.0
,,,,,,-1,0,-1,,,35212,Thespesia Populnea,GN7530MA5IAJ001,35212,29572055428031620000BBMPTREESENSU0000,164,15099,77.5581854,12.9412099,0.0
,,,,,,-1,0,-1,,,35475,Thespesia Populnea,GN7530FI7HRK001,35475,29572055428031620000BBMPTREESENSU0000,162,15678,77.5414884,12.9396769,0.0
,,,,,,-1,0,-1,,,35687,Thespesia Populnea,GN7530IA0UVH001,35687,29572055428031620000BBMPTREESENSU0000,164,15698,77.5622014,12.9328139,0.0
,,,,,,-1,0,-1,,,35828,Thespesia Populnea,GN7530IA1GPC001,35828,29572055428031620000BBMPTREESENSU0000,164,15721,77.5632544,12.9322149,0.0
,,,,,,-1,0,-1,,,37006,Thespesia Populnea,GN7530KB9KJA001,37006,29572055428031620000BBMPTREESENSU0000,162,15678,77.5430384,12.9424549,0.0
,,,,,,-1,0,-1,,,37789,Thespesia Populnea,GN7025XE7WED001,37789,29572055428031620000BBMPTREESENSU0000,160,15570,77.5229324,12.9185848,0.0
,,,,,,-1,0,-1,,,37841,Thespesia Populnea,GN7025YA1SGH001,37841,29572055428031620000BBMPTREESENSU0000,160,15570,77.5266534,12.9147968,0.0
,,,,,,-1,0,-1,,,37844,Thespesia Populnea,GN7025YA1TGD001,37844,29572055428031620000BBMPTREESENSU0000,160,15570,77.52684139999998,12.9147918,0.0
,,,,,,-1,0,-1,,,37897,Thespesia Populnea,GN7025YA1VNP001,37897,29572055428031620000BBMPTREESENSU0000,160,15570,77.5263654,12.9150348,0.0
,,,,,,-1,0,-1,,,37909,Thespesia Populnea,GN7025YA0YSL001,37909,29572055428031620000BBMPTREESENSU0000,160,15570,77.5259954,12.9150668,0.0
,,,,,,-1,0,-1,,,37954,Thespesia Populnea,GN7025YA0RSG001,37954,29572055428031620000BBMPTREESENSU0000,160,15570,77.52561439999998,12.9148858,0.0
,,,,,,-1,0,-1,,,37995,Thespesia Populnea,GN7025YA0WXE001,37995,29572055428031620000BBMPTREESENSU0000,160,15570,77.52560239999998,12.9151028,0.0
,,,,,,-1,0,-1,,,37999,Thespesia Populnea,GN7025YB0CAH001,37999,29572055428031620000BBMPTREESENSU0000,160,15570,77.5255174,12.9151388,0.0
